Player,Team,Pos,Rec,Yds,TD
CeeDee Lamb,DAL,WR,135,1749,12
Tyreek Hill,MIA,WR,119,1799,13
Amon-Ra St. Brown,DET,WR,119,1515,10
Michael Pittman Jr.,IND,WR,109,1152,4
Keenan Allen,LAC,WR,108,1243,7
Stefon Diggs,BUF,WR,107,1183,8
A.J. Brown,PHI,WR,106,1456,7
Puka Nacua,LAR,WR,105,1486,6
Davante Adams,LVR,WR,103,1144,8
Adam Thielen,CAR,WR,103,1014,4
Ja'Marr Chase,CIN,WR,100,1216,7
D.J. Moore,CHI,WR,96,1364,8
Garrett Wilson,NYJ,WR,95,1042,3
Chris Olave,NOR,WR,87,1123,5
Chris Godwin,TAM,WR,83,1024,2
DeVonta Smith,PHI,WR,81,1066,7
Nico Collins,HOU,WR,80,1297,8
Mike Evans,TAM,WR,79,1255,13
Tyler Lockett,SEA,WR,79,894,5
Terry McLaurin,WAS,WR,79,1002,4
Rashee Rice,KAN,WR,79,938,7
Zay Flowers,BAL,WR,77,858,5
Calvin Ridley,JAX,WR,76,1016,8
Brandon Aiyuk,SFO,WR,75,1342,7
DeAndre Hopkins,TEN,WR,75,1057,7
Amari Cooper,CLE,WR,72,1250,5
Jaylen Waddle,MIA,WR,72,1014,4
Jakobi Meyers,LVR,WR,71,807,8
Jordan Addison,MIN,WR,70,911,10
Drake London,ATL,WR,69,905,2
Josh Downs,IND,WR,68,771,2
Justin Jefferson,MIN,WR,68,1074,5
Tyler Boyd,CIN,WR,67,667,2
D.K. Metcalf,SEA,WR,66,1114,8
Jayden Reed,GNB,WR,64,793,8
George Pickens,PIT,WR,63,1140,5
Jaxon Smith-Njigba,SEA,WR,63,628,4
Curtis Samuel,WAS,WR,62,613,4
Wan'Dale Robinson,NYG,WR,60,525,1
Deebo Samuel,SFO,WR,60,892,7
Romeo Doubs,GNB,WR,59,674,8
Cooper Kupp,LAR,WR,59,737,5
Elijah Moore,CLE,WR,59,640,2
Courtland Sutton,DEN,WR,59,772,10
Christian Kirk,JAX,WR,57,787,3
Brandin Cooks,DAL,WR,54,657,8
Jerry Jeudy,DEN,WR,54,758,2
Marquise Brown,ARI,WR,51,574,4
Diontae Johnson,PIT,WR,51,717,5
Darius Slayton,NYG,WR,50,770,4
Jahan Dotson,WAS,WR,49,518,4
DeMario Douglas,NWE,WR,49,561,0
K.J. Osborn,MIN,WR,48,540,3
Tank Dell,HOU,WR,47,709,7
Rashid Shaheed,NOR,WR,46,719,5
Gabriel Davis,BUF,WR,45,746,7
Jonathan Mingo,CAR,WR,43,418,0
Tee Higgins,CIN,WR,42,656,5
