Player,Team,Pos,Cmp%,Yds,TD,Int,Rate
Tua Tagovailoa,MIA,QB,69.3,4624,29,14,101.1
Jared Goff,DET,QB,67.3,4575,30,12,97.9
Dak Prescott,DAL,QB,69.5,4516,36,9,105.9
Josh Allen,BUF,QB,66.5,4306,29,18,92.2
Brock Purdy,SFO,QB,69.4,4280,31,11,113
Patrick Mahomes,KAN,QB,67.2,4183,27,14,92.6
Jordan Love,GNB,QB,64.2,4159,32,11,96.1
C.J. Stroud,HOU,QB,63.9,4108,23,5,100.8
Baker Mayfield,TAM,QB,64.3,4044,28,10,94.6
Trevor Lawrence,JAX,QB,65.6,4016,21,14,88.5
Matthew Stafford,LAR,QB,62.6,3965,24,11,92.5
Sam Howell,WAS,QB,63.4,3946,21,21,78.9
Derek Carr,NOR,QB,68.4,3878,25,8,97.7
Jalen Hurts,PHI,QB,65.4,3858,23,15,89.1
Lamar Jackson,BAL,QB,67.2,3678,24,7,102.7
Geno Smith,SEA,QB,64.7,3624,20,9,92.1
Gardner Minshew II,IND,QB,62.2,3305,15,9,84.6
Justin Herbert,LAC,QB,65.1,3134,20,7,93.2
Russell Wilson,DEN,QB,66.4,3070,26,8,98
Bryce Young,CAR,QB,59.8,2877,11,10,73.7
Desmond Ridder,ATL,QB,64.2,2836,12,12,83.4
Justin Fields,CHI,QB,61.4,2562,16,9,86.3
Joe Burrow,CIN,QB,66.8,2309,15,6,91
Zach Wilson,NYJ,QB,60.1,2271,8,7,77.2
Aidan O'Connell,LVR,QB,62.1,2218,12,7,83.9
Mac Jones,NWE,QB,64.9,2120,10,12,77
Kenny Pickett,PIT,QB,62,2070,6,4,81.4
