Player,Team,Pos,Yds,TD,Y/A
Derrick Henry,TEN,RB,1167,12,4.2
Christian McCaffrey,SFO,RB,1459,14,5.4
Rachaad White,TAM,RB,990,6,3.6
Travis Etienne,JAX,RB,1008,11,3.8
Joe Mixon,CIN,RB,1034,9,4
Najee Harris,PIT,RB,1035,8,4.1
Tony Pollard,DAL,RB,1005,6,4
Saquon Barkley,NYG,RB,962,6,3.9
Chuba Hubbard,CAR,RB,902,5,3.8
James Cook,BUF,RB,1122,2,4.7
Josh Jacobs,LVR,RB,805,6,3.5
D'Andre Swift,PHI,RB,1049,5,4.6
Kyren Williams,LAR,RB,1144,12,5
Breece Hall,NYJ,RB,994,5,4.5
David Montgomery,DET,RB,1015,13,4.6
Kenneth Walker III,SEA,RB,905,8,4.1
Javonte Williams,DEN,RB,774,3,3.6
Devin Singletary,HOU,RB,898,4,4.2
Bijan Robinson,ATL,RB,976,4,4.6
Raheem Mostert,MIA,RB,1012,18,4.8
James Conner,ARI,RB,1040,7,5
Isiah Pacheco,KAN,RB,935,7,4.6
Jerome Ford,CLE,RB,813,4,4
Gus Edwards,BAL,RB,810,13,4.1
Tyler Allgeier,ATL,RB,683,4,3.7
Ezekiel Elliott,NWE,RB,642,3,3.5
Zack Moss,IND,RB,794,5,4.3
Jahmyr Gibbs,DET,RB,945,10,5.2
Alvin Kamara,NOR,RB,694,5,3.9
Alexander Mattison,MIN,RB,700,0,3.9
Austin Ekeler,LAC,RB,628,5,3.5
AJ Dillon,GNB,RB,613,2,3.4
Brian Robinson Jr.,WAS,RB,733,5,4.1
Jonathan Taylor,IND,RB,741,7,4.4
Rhamondre Stevenson,NWE,RB,619,4,4
Jaylen Warren,PIT,RB,784,4,5.3
Dameon Pierce,HOU,RB,416,2,2.9
Aaron Jones,GNB,RB,656,2,4.6
Kareem Hunt,CLE,RB,411,9,3
Khalil Herbert,CHI,RB,611,2,4.6
Miles Sanders,CAR,RB,432,1,3.3
Zach Charbonnet,SEA,RB,462,1,4.3
Joshua Kelley,LAC,RB,405,2,3.8
Jamaal Williams,NOR,RB,306,1,2.9
Zamir White,LVR,RB,451,1,4.3
De'Von Achane,MIA,RB,800,8,7.8
Ty Chandler,MIN,RB,461,3,4.5
Tyjae Spears,TEN,RB,453,2,4.5
Rico Dowdle,DAL,RB,361,2,4.1
Kenneth Gainwell,PHI,RB,364,2,4.3
Justice Hill,BAL,RB,387,3,4.6
Roschon Johnson,CHI,RB,352,2,4.3
Latavius Murray,BUF,RB,300,4,3.8
Royce Freeman,LAR,RB,319,2,4.1
Jaleel McLaughlin,DEN,RB,410,1,5.4
Elijah Mitchell,SFO,RB,281,2,3.7
Clyde Edwards-Helaire,KAN,RB,223,1,3.2
Dalvin Cook,NYJ,RB,214,0,3.2
Antonio Gibson,WAS,RB,265,1,4.1
Pierre Strong,CLE,RB,291,1,4.6
Emari Demercado,ARI,RB,284,2,4.9
Matt Breida,NYG,RB,151,1,2.7
Samaje Perine,DEN,RB,238,1,4.5
Chris Rodriguez,WAS,RB,247,2,4.8
Tank Bigsby,JAX,RB,132,2,2.6
Cordarrelle Patterson,ATL,RB,181,0,3.6
Chase Edmonds,TAM,RB,176,0,3.6
Chase Brown,CIN,RB,179,0,4.1
D'Ernest Johnson,JAX,RB,108,0,2.6
Craig Reynolds,DET,RB,179,1,4.4
Jeff Wilson,MIA,RB,188,0,4.6
Jordan Mason,SFO,RB,206,3,5.2
