Player,Team,Pos,Rec,Yds,TD
Brock Bowers,LVR,TE,112,1194,5
Trey McBride,ARI,TE,111,1146,2
Travis Kelce,KAN,TE,97,823,3
Jonnu Smith,MIA,TE,88,884,8
George Kittle,SFO,TE,78,1106,8
Zach Ertz,WAS,TE,66,654,7
Hunter Henry,NWE,TE,66,674,2
Pat Freiermuth,PIT,TE,65,653,7
Mike Gesicki,CIN,TE,65,665,2
David Njoku,CLE,TE,64,505,5
Sam LaPorta,DET,TE,60,726,7
Jake Ferguson,DAL,TE,59,494,0
Cade Otton,TAM,TE,59,600,4
Mark Andrews,BAL,TE,55,673,11
Dalton Schultz,HOU,TE,53,532,2
Chigoziem Okonkwo,TEN,TE,52,479,2
Tyler Conklin,NYJ,TE,51,449,4
Will Dissly,LAC,TE,50,481,2
Juwan Johnson,NOR,TE,50,548,3
Tucker Kraft,GNB,TE,50,707,7
Noah Fant,SEA,TE,48,500,1
Cole Kmet,CHI,TE,47,474,4
Kyle Pitts,ATL,TE,47,602,4
Austin Hooper,NWE,TE,45,476,3
Dalton Kincaid,BUF,TE,44,448,2
Dallas Goedert,PHI,TE,42,496,2
Isaiah Likely,BAL,TE,42,477,6
T.J. Hockenson,MIN,TE,41,455,0
Jordan Akins,CLE,TE,40,390,2
Noah Gray,KAN,TE,40,437,5
Brenton Strange,JAX,TE,40,411,2
Ja'Tavion Sanders,CAR,TE,33,342,1
Foster Moreau,NOR,TE,32,413,5
AJ Barner,SEA,TE,30,245,4
Colby Parkinson,LAR,TE,30,294,1
Theo Johnson,NYG,TE,29,331,1
Josh Whyle,TEN,TE,28,248,1
Luke Schoonmaker,DAL,TE,27,241,1
Grant Calcaterra,PHI,TE,24,298,1
Tommy Tremble,CAR,TE,23,234,2
Dawson Knox,BUF,TE,22,311,1
