Player,Team,Pos,Rec,Yds,TD
Puka Nacua,LAR,WR,129,1715,10
Ja'Marr Chase,CIN,WR,125,1412,8
Jaxon Smith-Njigba,SEA,WR,119,1793,10
Amon-Ra St. Brown,DET,WR,117,1401,11
Chris Olave,NOR,WR,100,1163,9
George Pickens,DAL,WR,93,1429,9
Wan'Dale Robinson,NYG,WR,92,1014,4
Zay Flowers,BAL,WR,86,1211,5
Stefon Diggs,NWE,WR,85,1013,4
Justin Jefferson,MIN,WR,84,1048,2
Keenan Allen,LAC,WR,81,777,4
Michael Pittman Jr.,IND,WR,80,784,7
A.J. Brown,PHI,WR,78,1003,7
Michael Wilson,ARI,WR,78,1006,7
DeVonta Smith,PHI,WR,77,1008,4
CeeDee Lamb,DAL,WR,75,1077,3
Courtland Sutton,DEN,WR,74,1017,7
Deebo Samuel,WAS,WR,72,727,5
Khalil Shakir,BUF,WR,72,719,4
Nico Collins,HOU,WR,71,1117,6
Tetairoa McMillan,CAR,WR,70,1014,7
Drake London,ATL,WR,68,919,7
Ladd McConkey,LAC,WR,66,789,6
Troy Franklin,DEN,WR,65,709,6
Jameson Williams,DET,WR,65,1117,7
Jaylen Waddle,MIA,WR,64,910,6
Emeka Egbuka,TAM,WR,63,938,6
Davante Adams,LAR,WR,60,789,14
Tee Higgins,CIN,WR,59,846,11
D.K. Metcalf,PIT,WR,59,850,6
Josh Downs,IND,WR,58,566,4
Parker Washington,JAX,WR,58,847,5
Tre Tucker,LVR,WR,57,696,5
Romeo Doubs,GNB,WR,55,724,6
Jauan Jennings,SFO,WR,55,643,9
Quentin Johnston,LAC,WR,51,735,8
Jerry Jeudy,CLE,WR,50,602,2
D.J. Moore,CHI,WR,50,682,6
Marquise Brown,KAN,WR,49,587,5
Chimere Dike,TEN,WR,48,423,4
Brian Thomas,JAX,WR,48,707,2
Luther Burden,CHI,WR,47,652,2
Cooper Kupp,SEA,WR,47,593,2
Alec Pierce,IND,WR,47,1003,6
Mack Hollins,NWE,WR,46,550,2
Malik Washington,MIA,WR,46,317,3
Rome Odunze,CHI,WR,44,661,6
Jordan Addison,MIN,WR,42,610,3
Xavier Worthy,KAN,WR,42,532,1
Elic Ayomanor,TEN,WR,41,515,4
Marvin Harrison Jr.,ARI,WR,41,608,4
Jayden Higgins,HOU,WR,41,525,6
Ryan Flournoy,DAL,WR,40,475,4
